backend,total_blocks,image_size_kb,rep,metric,value
cow,64,256,10,write_during_snap_per_block_us,42.74301075687011
cow,64,256,10,num_writes,6
cow,64,256,10,delta_block_count,6
cow,64,256,10,discard_us,31.87498077750206
cow,64,256,10,commit_us,4426.042083650827
cow,256,1024,1,snapshot_create_us,132.24990107119083
cow,256,1024,1,write_during_snap_total_us,1119.7910644114017
cow,256,1024,1,write_during_snap_per_block_us,44.79164257645607
cow,256,1024,1,num_writes,25
cow,256,1024,1,delta_block_count,25
cow,256,1024,1,discard_us,41.999854147434235
cow,256,1024,1,commit_us,18293.541856110096
cow,256,1024,2,snapshot_create_us,106.9169957190752
cow,256,1024,2,write_during_snap_total_us,1095.999963581562
cow,256,1024,2,write_during_snap_per_block_us,43.83999854326248
cow,256,1024,2,num_writes,25
cow,256,1024,2,delta_block_count,25
cow,256,1024,2,discard_us,36.04101948440075
cow,256,1024,2,commit_us,18439.16717916727
cow,256,1024,3,snapshot_create_us,123.54087084531784
cow,256,1024,3,write_during_snap_total_us,1133.7501928210258
cow,256,1024,3,write_during_snap_per_block_us,45.350007712841034
cow,256,1024,3,num_writes,25
cow,256,1024,3,delta_block_count,25
cow,256,1024,3,discard_us,40.16701132059097
cow,256,1024,3,commit_us,17843.083012849092
cow,256,1024,4,snapshot_create_us,109.54216122627258
cow,256,1024,4,write_during_snap_total_us,1070.4579763114452
cow,256,1024,4,write_during_snap_per_block_us,42.81831905245781
cow,256,1024,4,num_writes,25
cow,256,1024,4,delta_block_count,25
cow,256,1024,4,discard_us,30.45797348022461
cow,256,1024,4,commit_us,18373.04118089378
cow,256,1024,5,snapshot_create_us,109.04204100370407
cow,256,1024,5,write_during_snap_total_us,1061.5410283207893
cow,256,1024,5,write_during_snap_per_block_us,42.46164113283157
cow,256,1024,5,num_writes,25
cow,256,1024,5,delta_block_count,25
cow,256,1024,5,discard_us,31.33295103907585
cow,256,1024,5,commit_us,18115.37495814264
cow,256,1024,6,snapshot_create_us,108.41712355613708
cow,256,1024,6,write_during_snap_total_us,1072.3331943154335
cow,256,1024,6,write_during_snap_per_block_us,42.89332777261734
cow,256,1024,6,num_writes,25
cow,256,1024,6,delta_block_count,25
cow,256,1024,6,discard_us,30.625145882368088
cow,256,1024,6,commit_us,18128.874944522977
cow,256,1024,7,snapshot_create_us,111.00014671683311
cow,256,1024,7,write_during_snap_total_us,1073.0419307947159
cow,256,1024,7,write_during_snap_per_block_us,42.921677231788635
cow,256,1024,7,num_writes,25
cow,256,1024,7,delta_block_count,25
cow,256,1024,7,discard_us,30.916882678866386
cow,256,1024,7,commit_us,18255.624920129776
cow,256,1024,8,snapshot_create_us,128.16698290407658
cow,256,1024,8,write_during_snap_total_us,1085.040858015418
cow,256,1024,8,write_during_snap_per_block_us,43.40163432061672
cow,256,1024,8,num_writes,25
cow,256,1024,8,delta_block_count,25
cow,256,1024,8,discard_us,34.1248232871294
cow,256,1024,8,commit_us,18242.625053972006
cow,256,1024,9,snapshot_create_us,123.12503531575203
cow,256,1024,9,write_during_snap_total_us,1079.0000669658184
cow,256,1024,9,write_during_snap_per_block_us,43.160002678632736
cow,256,1024,9,num_writes,25
cow,256,1024,9,delta_block_count,25
cow,256,1024,9,discard_us,33.16695801913738
cow,256,1024,9,commit_us,18143.708119168878
cow,256,1024,10,snapshot_create_us,136.45808212459087
cow,256,1024,10,write_during_snap_total_us,1088.5000228881836
cow,256,1024,10,write_during_snap_per_block_us,43.540000915527344
cow,256,1024,10,num_writes,25
cow,256,1024,10,delta_block_count,25
cow,256,1024,10,discard_us,56.958990171551704
cow,256,1024,10,commit_us,18027.83296443522
cow,1024,4096,1,snapshot_create_us,243.99999529123306
cow,1024,4096,1,write_during_snap_total_us,6149.041932076216
cow,1024,4096,1,write_during_snap_per_block_us,60.28472482427662
cow,1024,4096,1,num_writes,102
cow,1024,4096,1,delta_block_count,102
cow,1024,4096,1,discard_us,69.95792500674725
cow,1024,4096,1,commit_us,75255.04194200039
cow,1024,4096,2,snapshot_create_us,240.70916697382927
cow,1024,4096,2,write_during_snap_total_us,6174.582988023758
cow,1024,4096,2,write_during_snap_per_block_us,60.53512733356625
cow,1024,4096,2,num_writes,102
cow,1024,4096,2,delta_block_count,102
cow,1024,4096,2,discard_us,69.24988701939583
cow,1024,4096,2,commit_us,73215.04200808704
cow,1024,4096,3,snapshot_create_us,260.7910428196192
cow,1024,4096,3,write_during_snap_total_us,4515.124950557947
cow,1024,4096,3,write_during_snap_per_block_us,44.26593088782301
cow,1024,4096,3,num_writes,102
cow,1024,4096,3,delta_block_count,102
cow,1024,4096,3,discard_us,69.12508979439735
cow,1024,4096,3,commit_us,78639.04093392193
cow,1024,4096,4,snapshot_create_us,673.6251525580883
cow,1024,4096,4,write_during_snap_total_us,4443.167010322213
cow,1024,4096,4,write_during_snap_per_block_us,43.560460885511894
cow,1024,4096,4,num_writes,102
cow,1024,4096,4,delta_block_count,102
cow,1024,4096,4,discard_us,68.08293983340263
cow,1024,4096,4,commit_us,76082.62496069074
cow,1024,4096,5,snapshot_create_us,412.5409759581089
cow,1024,4096,5,write_during_snap_total_us,9011.124959215522
cow,1024,4096,5,write_during_snap_per_block_us,88.34436234525022
cow,1024,4096,5,num_writes,102
cow,1024,4096,5,delta_block_count,102
cow,1024,4096,5,discard_us,80.79200051724911
cow,1024,4096,5,commit_us,77971.49987891316
cow,1024,4096,6,snapshot_create_us,240.83303287625313
cow,1024,4096,6,write_during_snap_total_us,7681.499933823943
cow,1024,4096,6,write_during_snap_per_block_us,75.30882288062689
cow,1024,4096,6,num_writes,102
cow,1024,4096,6,delta_block_count,102
cow,1024,4096,6,discard_us,67.7499920129776
cow,1024,4096,6,commit_us,77619.37496252358
cow,1024,4096,7,snapshot_create_us,213.79184909164906
cow,1024,4096,7,write_during_snap_total_us,4474.082961678505
cow,1024,4096,7,write_during_snap_per_block_us,43.86355844782848
cow,1024,4096,7,num_writes,102
cow,1024,4096,7,delta_block_count,102
cow,1024,4096,7,discard_us,70.58284245431423
cow,1024,4096,7,commit_us,75518.33312027156
cow,1024,4096,8,snapshot_create_us,215.5001275241375
cow,1024,4096,8,write_during_snap_total_us,7651.624968275428
cow,1024,4096,8,write_during_snap_per_block_us,75.0159310615238
cow,1024,4096,8,num_writes,102
cow,1024,4096,8,delta_block_count,102
cow,1024,4096,8,discard_us,70.04197686910629
cow,1024,4096,8,commit_us,77006.41616247594
cow,1024,4096,9,snapshot_create_us,316.45805574953556
cow,1024,4096,9,write_during_snap_total_us,7642.374839633703
cow,1024,4096,9,write_during_snap_per_block_us,74.92524352582062
cow,1024,4096,9,num_writes,102
cow,1024,4096,9,delta_block_count,102
cow,1024,4096,9,discard_us,72.16702215373516
cow,1024,4096,9,commit_us,74220.91695480049
cow,1024,4096,10,snapshot_create_us,227.75004617869854
cow,1024,4096,10,write_during_snap_total_us,7551.250047981739
cow,1024,4096,10,write_during_snap_per_block_us,74.03186321550724
cow,1024,4096,10,num_writes,102
cow,1024,4096,10,delta_block_count,102
cow,1024,4096,10,discard_us,99.04196485877037
cow,1024,4096,10,commit_us,70210.58304235339
cow,4096,16384,1,snapshot_create_us,1286.8328485637903
cow,4096,16384,1,write_during_snap_total_us,22789.33417983353
cow,4096,16384,1,write_during_snap_per_block_us,55.71964347147563
cow,4096,16384,1,num_writes,409
cow,4096,16384,1,delta_block_count,409
cow,4096,16384,1,discard_us,214.20815028250217
cow,4096,16384,1,commit_us,294991.8338563293
cow,4096,16384,2,snapshot_create_us,1206.0420121997595
cow,4096,16384,2,write_during_snap_total_us,25249.625090509653
cow,4096,16384,2,write_during_snap_per_block_us,61.735024671172745
cow,4096,16384,2,num_writes,409
cow,4096,16384,2,delta_block_count,409
cow,4096,16384,2,discard_us,220.12507542967796
cow,4096,16384,2,commit_us,307306.20911344886
cow,4096,16384,3,snapshot_create_us,1178.832957521081
cow,4096,16384,3,write_during_snap_total_us,23814.250016584992
cow,4096,16384,3,write_during_snap_per_block_us,58.22555016279949
cow,4096,16384,3,num_writes,409
